name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Engineering Center F-Wing,23,29216555,,university,,,,"POLYGON ((-111.9317744 33.4195899, -111.9317744 33.4197761, -111.9326414 33.4197761, -111.9326414 33.4195899, -111.9325554 33.4195899, -111.9317744 33.4195899))","POINT (-111.93220789999998 33.419683)",,
Sch. Human Ev. Soc. Chg,24,29216912,,university,,,,"POLYGON ((-111.9357293 33.4203935, -111.9352572 33.4203948, -111.9352577 33.4205179, -111.9354505 33.4205174, -111.935451 33.4206483, -111.9352593 33.4206487, -111.9352597 33.4207725, -111.9357309 33.4207714, -111.9357305 33.4206504, -111.935683 33.4206505, -111.9356825 33.4205127, -111.9357297 33.4205126, -111.9357293 33.4203935))","POINT (-111.93550885228113 33.420583018623724)",,
Parking permit 44,25,29736047,,,parking,,,"POLYGON ((-111.9280363 33.4173313, -111.9286659 33.4173293, -111.9286687 33.4173741, -111.9287216 33.4173753, -111.9287178 33.4176054, -111.9286661 33.4176058, -111.9286656 33.4176532, -111.9280413 33.4176546, -111.9280363 33.4173313))","POINT (-111.92837216091975 33.4174916642074)",,
Tyler Street Parking Structure,26,29736099,,yes,parking,,,"POLYGON ((-111.9287098 33.4204397, -111.928666 33.42044, -111.9278753 33.4204464, -111.9277884 33.4204471, -111.9277951 33.4210215, -111.9286423 33.4210147, -111.9287182 33.4210141, -111.9287155 33.4209343, -111.9287121 33.4206435, -111.9287098 33.4204397))","POINT (-111.928252489069 33.42073062080382)",,
Lot 3,27,30032032,,,parking,,,"POLYGON ((-111.9392405 33.4166122, -111.9390862 33.4165517, -111.9391659 33.4163955, -111.9388601 33.4162942, -111.9388162 33.4164274, -111.9387563 33.4164093, -111.938698 33.4165075, -111.9386182 33.4166115, -111.9385381 33.4166912, -111.9384134 33.4167818, -111.9382897 33.4168549, -111.9382728 33.4169837, -111.93829 33.4173091, -111.9383475 33.417307, -111.9383476 33.4173522, -111.9392277 33.4173449, -111.9394966 33.417071, -111.9394864 33.4169671, -111.9394355 33.4167677, -111.9393985 33.4166494, -111.9393649 33.4165734, -111.9392405 33.4166122))","POINT (-111.93888564329706 33.416925747514334)",,
Best Hall A,28,30407912,,residential,,,,"POLYGON ((-111.9358285 33.4159746, -111.936232 33.4159746, -111.9364465 33.4159746, -111.9364465 33.4158528, -111.9358285 33.4158528, -111.9358285 33.4159746))","POINT (-111.9361375 33.415913700000004)",,
Arroyo Hall,29,30408001,,residential,,,,"POLYGON ((-111.9292681 33.4153193, -111.9292693 33.4157326, -111.9294267 33.4157322, -111.9294252 33.4154506, -111.9296069 33.41545, -111.9296076 33.4155987, -111.9296854 33.4155984, -111.929684 33.4153179, -111.9294317 33.4153188, -111.9292681 33.4153193))","POINT (-111.92944254925688 33.41548196186744)",,
Central Plant South,30,30408166,,yes,,,,"POLYGON ((-111.928291 33.4111888, -111.9290384 33.411189, -111.9290375 33.4113689, -111.9287912 33.4113693, -111.9287924 33.4112808, -111.9286703 33.411281, -111.9286694 33.4113702, -111.9282941 33.4113679, -111.928291 33.4111888))","POINT (-111.92865969893202 33.4112748958982)",,
University Towers Parking Structure,31,30420080,,yes,parking,,,"POLYGON ((-111.9357535 33.4245678, -111.935867 33.4245678, -111.9364487 33.4245678, -111.9364487 33.4246108, -111.9365002 33.4246108, -111.9365002 33.42484, -111.9364487 33.42484, -111.9364487 33.4248902, -111.9357535 33.4248902, -111.9357535 33.4245678))","POINT (-111.93611977855478 33.42472881989341)",,
,32,30420472,,university,,,,"POLYGON ((-111.9312505 33.4223773, -111.9313898 33.4223753, -111.931453 33.4224729, -111.9313711 33.4225163, -111.9312393 33.4224545, -111.9312507 33.4224386, -111.9312505 33.4223773))","POINT (-111.93134313069103 33.422438487378216)",,
