node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
3523,,-111.9234104,33.4177194,147,1,
3524,,-111.9234627,33.4177659,147,1,
3525,,-111.9235149,33.4178124,147,1,
3526,,-111.9235671,33.4178589,147,1,
3527,,-111.9236193,33.4179054,147,1,
3528,,-111.9236715,33.417952,147,1,
3529,,-111.9237237,33.4179985,147,1,
3530,,-111.9237759,33.418045,147,1,
3531,,-111.9238284,33.4180913,147,1,
3532,,-111.9238814,33.4181372,147,1,
3533,,-111.9239338,33.4181836,147,1,
3534,,-111.9239861,33.41823,147,1,
3535,,-111.9240385,33.4182764,147,1,
3536,,-111.9240908,33.4183228,147,1,
3537,,-111.9241431,33.4183692,147,1,
3538,,-111.9241955,33.4184157,147,1,
3539,,-111.9242478,33.4184621,147,1,
3540,,-111.9243001,33.4185085,147,1,
3541,,-111.9243525,33.4185549,147,1,
3542,,-111.9244048,33.4186013,147,1,
3543,,-111.9244565,33.4186482,147,1,
3544,,-111.9245081,33.4186952,147,1,
3545,,-111.9245605,33.4187416,147,1,
3546,,-111.9246128,33.418788,147,1,
3547,,-111.924665,33.4188346,147,1,
3548,,-111.9247171,33.4188812,147,1,
3549,,-111.9247692,33.4189278,147,1,
3550,,-111.9248213,33.4189744,147,1,
3551,,-111.9248734,33.419021,147,1,
3552,,-111.9249256,33.4190675,147,1,
3553,,-111.9249777,33.4191141,147,1,
3554,,-111.9250298,33.4191607,147,1,
3555,,-111.925082,33.4192073,147,1,
3556,,-111.9251338,33.4192541,147,1,
3557,,-111.9251854,33.4193011,147,1,
3558,,-111.925237,33.4193481,147,1,
3559,,-111.9252886,33.4193951,147,1,
3560,,-111.9254007,33.4195045,148,1,
3561,,-111.9254392,33.419542,148,1,
3562,,-111.9254776,33.4195795,148,1,
3563,,-111.9166573,33.4305282,149,1,
3564,,-111.9166073,33.4305022,149,1,
3565,,-111.9165572,33.4304762,149,1,
3566,,-111.9165176,33.4305298,150,1,
3567,,-111.9165676,33.4305558,150,1,
3568,,-111.9166176,33.4305818,150,1,
3569,,-111.9366993,33.4175853,151,1,
3570,,-111.9366754,33.4175419,151,1,
3571,,-111.9366709,33.417494,151,1,
3572,,-111.9365996,33.4175506,152,1,
3573,,-111.9366082,33.4175727,152,1,
3574,,-111.9289933,33.4211311,153,1,
3575,,-111.928997,33.4210685,153,1,
3576,,-111.9289986,33.4210059,153,1,
3577,,-111.9289999,33.4209433,153,1,
3578,,-111.9289246,33.4209422,154,1,
3579,,-111.9289233,33.4210042,154,1,
3580,,-111.9289217,33.4210661,154,1,
3581,,-111.9289181,33.421128,154,1,
3582,,-111.932831,33.4145734,155,1,
3583,,-111.9328295,33.4145114,155,1,
3584,,-111.9328279,33.4144493,155,1,
3585,,-111.9328264,33.4143872,155,1,
3586,,-111.9328249,33.4143252,155,1,
3587,,-111.9328233,33.4142631,155,1,
3588,,-111.9328218,33.4142011,155,1,
3589,,-111.9328204,33.414139,155,1,
3590,,-111.9328192,33.4140769,155,1,
3591,,-111.9328186,33.4140149,155,1,
3592,,-111.9328181,33.4139528,155,1,
3593,,-111.9328176,33.4138907,155,1,
3594,,-111.9328172,33.4138286,155,1,
3595,,-111.9328167,33.4137666,155,1,
3596,,-111.9328162,33.4137045,155,1,
3597,,-111.9328157,33.4136424,155,1,
3598,,-111.9327404,33.4136429,156,1,
3599,,-111.9327409,33.4137049,156,1,
3600,,-111.9327414,33.413767,156,1,
3601,,-111.9327419,33.4138291,156,1,
3602,,-111.9327424,33.4138912,156,1,
3603,,-111.9327428,33.4139532,156,1,
3604,,-111.9327433,33.4140153,156,1,
3605,,-111.9327439,33.4140774,156,1,
3606,,-111.9327451,33.4141394,156,1,
3607,,-111.9327465,33.4142015,156,1,
3608,,-111.932748,33.4142636,156,1,
3609,,-111.9327496,33.4143256,156,1,
3610,,-111.9327511,33.4143877,156,1,
